Number,bus_Name,bus_Stop,busstop_Longitude,busstop_Latitude,distance_m_,straight_Distance,busstop_Longitude84,busstop_Latitude84,straight_Distance_HeadToTail,distance,basic_price,total_price,start_time,end_time,company
1,1路(东站(环城南路)--西北部公交枢纽站),东站(环城南路),102.73355,25.030291,0,0,102.7320758,25.03324398,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),市博物馆,102.728754,25.03326,784,585,102.7272858,25.03621603,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),拓东路中段,102.723958,25.033655,491,485,102.7224966,25.03661518,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),拓东路,102.718012,25.033546,599,599,102.7165603,25.03651244,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),得胜桥(青年路),102.716675,25.035074,288,217,102.7152255,25.03804182,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),南太桥(青年路),102.716115,25.039062,447,447,102.7146664,25.04203003,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),财盛巷口(人民中路),102.714332,25.042279,503,400,102.7128865,25.04524885,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),文庙(华山西路),102.707726,25.042995,738,670,102.7062933,25.04597365,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),青云街,102.707695,25.048685,635,633,102.7062622,25.05166306,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),云南大学(青云街),102.704765,25.052132,529,484,102.7033381,25.05511398,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),府甬道,102.700531,25.051298,466,436,102.6991132,25.05428665,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),建设路,102.696548,25.052177,550,413,102.6951391,25.05517208,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),地台寺,102.694572,25.055201,402,391,102.6931676,25.0581991,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),理工大学西门(建设路),102.692513,25.059948,571,567,102.6911132,25.06294915,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),苏家塘,102.692426,25.063216,372,364,102.6910263,25.06621696,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),冶金学校,102.688837,25.064128,469,376,102.6874458,25.06713523,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),阳光果香小区(学府路),102.684605,25.064266,427,426,102.6832241,25.06728093,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),虹山新村,102.681389,25.062865,362,359,102.680016,25.06588606,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),金鼎园,102.675399,25.063859,662,613,102.6740409,25.06689129,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),普吉路南口,102.673805,25.066668,367,351,102.6724508,25.06970304,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),交通学校,102.674385,25.072592,676,661,102.6730292,25.07562532,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),观音寺社区,102.673958,25.078602,670,670,102.6726031,25.08163553,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),王家桥(普吉路),102.671562,25.084232,677,671,102.6702129,25.08726955,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),普吉路中段,102.671454,25.088733,507,501,102.6701051,25.09177033,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),公交西部修理公司(河北路),102.669502,25.095114,862,736,102.6681577,25.09815446,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
1,1路(东站(环城南路)--西北部公交枢纽站),西北部公交枢纽站,102.664993,25.094563,467,458,102.66366,25.09761208,9937.8,13.50912,1,2,600,2200,昆明公交集团第一分公司
2,2路(黄土坡--昆明站(永平路)),黄土坡,102.67056,25.064167,0,0,102.669214,25.06720849,7328.9,9.32369,1,2,600,2200,昆明公交集团第三分公司
